Month,Year,PartNo,Description,Quantity,Sales Price
1,2025,277642303707,Brake Drum 3707,264,4440.11
1,2025,66666,Trunnion Braket,300,4632.9
1,2025,1528137,Chart Casting Wheel -8137,113,4663.85
1,2025,1528138,Chart Casting Wheel -8138,282,10875.04
1,2025,516266681,Chart Casting Wheel -6681,84,7972.78
1,2025,8504786,Casting drive wheel,53,9692.63
1,2025,1524926,Hub Casting,232,11744.12
1,2025,8827231,Drive wheel -casting,483,925.21
1,2025,006050988V01,Fly Wheel 67 HP,452,9045.68
1,2025,907125600,Wheel - Drive,266,7105.91
1,2025,60000-01/018,"Brake Drum , 16.5X7, G3000b",417,3644.05
1,2025,X1505222,Pulley-5222,271,3155.92
1,2025,X1505122,Pulley-5122,212,10387.64
1,2025,006525415B01,Axle Carr LH,325,8427.48
1,2025,006525417B01,Axle Carr RH,292,366.78
1,2025,B3F16003,Fly Wheel -16003,297,11590.69
1,2025,5739980670,HYVA Bracket 670,469,8871.69
1,2025,3318C00701,Flywheel-701,225,7380.84
1,2025,H01XX417961701,Drive wheel,459,4754.5
1,2025,X6E04722,NODO BRACKET-ECO-4722,526,508.31
1,2025,FTF03022,Rear Dummy HUB-3222,497,6252.47
1,2025,F5N04822,Bracket -Engine Mounting-4822,466,5149.27
1,2025,A 400 322 05 01,Spring bracket -501,596,2932.4
1,2025,A 400 322 00 01,Spring bracket -0001,548,11367.26
1,2025,A 400 322 00 06,Spring bracket -0006,361,3950.23
1,2025,A4008911020,Bracket Bearing 1020,290,6653.58
1,2025,A4003220101,Spring bracket -0101,165,9279.75
1,2025,A400 891 09 20,Bracket Bearing 920,358,10630.73
2,2025,0503BA0290N-RK,ALFA HUB,137,5769.71
2,2025,0503BA0290N,Front Wheel Hub,419,9067.59
2,2025,0502BA1050N,Alfa Rear Wheel Hub LH,250,3964.29
2,2025,0502BA1060N,Alfa Rear Wheel Hub RH,260,10397.59
2,2025,0602AAB00260N,Brake Drum ALFA,314,6798.82
2,2025,0601AMJ00030N,Brake Drum -TREO,285,1271.62
2,2025,0601AAA00320N,B.D. E-Riksha,417,10266.81
2,2025,0601AED00170N,Brake Drum E-Rikshaw,479,2722.34
2,2025,0801AAA00960N,Clutch Housing LCC,99,1301.19
2,2025,006017472B92,Fly Wheel 3DI,141,10073.97
2,2025,006029533V91,Fly Wheel 3DI E1H1,470,7944.25
2,2025,006028861V92,475/575 4DI-NCRPTO,80,3826.73
2,2025,006028860V91,475/575 4DI-CRPTO,569,8132.25
2,2025,006022009B91,Fly Wheel Swraj,522,2563.85
2,2025,007903649B1,HUB(CRE),554,1500.39
2,2025,4D00322,BOSS BRAKCET,103,611.68
2,2025,005551418R8,F.A.S. (BP),337,1920.48
2,2025,F3S00100,Brake Drum 100,191,1330.32
2,2025,F8T00122,Brake Drum 122,203,7549.11
2,2025,F3S00222,Brake Drum 222,394,517.62
2,2025,F3S00422,Brake Drum 422,116,12518.36
2,2025,F8T01222,Brake Drum 1222,185,2624.88
2,2025,F8T02022,Brake Drum 2022,364,7682.94
2,2025,F1860822,BD (B) 1860822 -EDM,438,4069.77
2,2025,F1869022,BD F-1869022-EDM,270,8652.69
2,2025,F8T01922,Brake Drum 1922,627,6127.76
2,2025,F1879622,Brake Drum 9622,125,4730.49
2,2025,F1879722,Brake Drum 9722,467,9888.19
2,2025,F1869122,Brake Drum 9122,149,7761.94
2,2025,F3S00622,Brake Drum 622,450,841.02
2,2025,F5Z00120,Distence Pic Old 120,333,11116.18
2,2025,F5Z00112,Distence Pic Big 112,104,10754.29
2,2025,F1880122,Rear Hub 122,567,3902.77
2,2025,F1888822,Dummy Hub 822,365,7399.73
2,2025,F8S00622,Rear Hub-622,77,1579.84
2,2025,F1880222,Rear HUB-222,124,3054.4
2,2025,F8S01022,UB Hub 1022,105,2816.13
2,2025,FTF01222,UB Hub 1222,317,9118.39
2,2025,F1884622,Front Hub -622,78,9428.14
2,2025,F8S00922,UB Hub 922,421,5853.44
2,2025,F8S01322,Front HUB-1322,404,2641.32
2,2025,FTF01122,Hub 1122 MBP,378,3930.31
2,2025,FTF01022,Hub 1022 MBP,294,1175.3
2,2025,FTF03022,Rear Dummy HUB-3022,94,11131.67
2,2025,FH302622,Front Hub 2622 MBP,145,10858.04
2,2025,FTT02722,HUB-2722,497,669.51
2,2025,F3H01322,ARB FRAME MOUNTING BKT,220,11222.87
2,2025,F2R00122,SGM BKT-122,380,9547.18
2,2025,F8D01700,SGM BKT -1700,174,8319.34
2,2025,F-8D02722,SGM -2722,81,2936.67
2,2025,F8D01622,SGM -1622,267,6318.35
2,2025,F3H01122,ARB Axle M. BKt LH,420,9983.52
2,2025,F3H01222,ARB Axle M. BKt RH,172,1779.12
2,2025,B3F15503,Fly Wheel-503,320,3674.91
2,2025,B9805502,Flywheel Neptune,323,2234.07
2,2025,B2W02519,FIP Housing CB18,69,7321.46
2,2025,B2W01421,FIP Housing CB28,74,6451.09
2,2025,B2W01307,Fip Housing-1307,304,3076.08
2,2025,X1X00522,Thermostate Housing-522,717,5678.63
2,2025,X2H00622,T.G. Case,597,8747.5
2,2025,F7L09722,Rear Spring Bracket,266,7932.97
2,2025,F5F01822,AC Bracket -1822,216,9197.94
2,2025,F5F01722,AC Bracket -1722,398,2645.9
2,2025,F7Z05314,ATS BRACKET-5314,357,8061.46
2,2025,F7Z00122,ATS BRACKET-122,259,3249.7
2,2025,F7Z05414,ATS BRACKET-5414,514,2770.79
2,2025,F7Z10314,ATS BRACKET 10314,512,9933.26
2,2025,X6E03422,Nodo Bracket-3422,389,678.44
2,2025,X6E03522,Nodo Bracket-3522,84,7713.64
2,2025,X6E05222,Nodo Bracket-5222,149,8822.79
2,2025,X6E05122,Nodo Bracket-5122,296,10137.82
2,2025,330123920,Tata Cup Box,83,5227.4
2,2025,P3301201020,ACE RDE Box casting,273,2503.72
2,2025,330151420,Mega Ace,441,3467.96
2,2025,330134120,M&M 510,75,12928.24
2,2025,330134220V1,M&M 630,491,2670.12
2,2025,330931720,Cover Plate,858,11758.88
2,2025,502207C01,Side Cover C01,636,6729.58
2,2025,502207E 01,Side Cover Casting E01 (HFB 82),225,2167.43
2,2025,50170115,Valve Housing HFB 64,314,4572.51
2,2025,501707C06,Valve Housing casting,230,7701.54
2,2025,501707C03,Valve Housing casting-C03,426,10665.65
2,2025,501707E 01,Valve housing casting  E01 (HFB82),356,2341.64
2,2025,500127C06,LH Housing C06,233,3853.37
2,2025,500127C14,LH Housing C14,477,10837.69
2,2025,50012110,LH Housing 64,76,4060.29
2,2025,5.00E+08,LH Housing -82,343,1378.53
2,2025,666,BB-106,218,1773.79
2,2025,F1826722,B.D. 6722,63,2693.18
2,2025,257542303705,TATA BRAKE DRUM 3705,1055,4373.3
2,2025,263242303723,TATA BRAKE DRUM 3723,79,9499.92
2,2025,F1875722,Brake Drum -5722,342,3796.54
2,2025,277642303701,TATA BRAKE DRUM 3701,295,3944.22
2,2025,5.01E+11,Brake Drum 3702,146,12443.18
2,2025,0031002662AC,Rear Cover-6662,216,6525.55
2,2025,10006813CC,Rear Cover-6813,582,6916.8
2,2025,300053048A,Sviwel Housing LH,418,5932.67
2,2025,300053049A,Sviwel Housing RH,494,8359.11
2,2025,300130461B,Housing Input Pinion,311,8382.93
2,2025,300130468A,Cover steering cylinder mounting,366,11014.4
2,2025,300130474A,Housing hub stub axle,320,6984.8
2,2025,300145985A,Housing Axle King Shaft,282,5458.77
2,2025,10039106AB,Front Axle Housing LH-106 AB,72,3954.58
2,2025,10039104AC,Front Axle Housing RH-104 AC,494,6306.32
2,2025,10039098AB,"Front Axle Housing RH  (10039098AB)
",133,6181.75
2,2025,300422630A,Housing Front Axle Cover LH-630,636,11264.54
2,2025,300422616A,Housing Front Axle Cover RH-640,657,7667.08
2,2025,300137705B,Housing Front Axle Cover LH-705,463,8163.38
2,2025,300130478B,Housing Front Axle Cover RH-478,606,11301.57
2,2025,10051257CB,Front Axle Housing,282,7530.39
2,2025,1A8252-42110,Hydarulic Housing,75,1002.85
2,2025,10071462AG,Integral Front Axle Bkt(Casting),216,9128.61
2,2025,5A8252-24701,COVER FRONT,263,5983.48
2,2025,5A8252-24240,COVER REAR,84,2682.61
2,2025,1A8252-43231-1,HEAD CYLINDER,445,7699.86
2,2025,1A8550-43210-1,HEAD CYLINDER-210,630,8688.72
2,2025,1A8252-47710,HINGE SUPPORT-8252,387,6836.56
2,2025,101281426000,Brake Drum -6000,423,9629.09
2,2025,101281426100,Brake Drum -6100,169,3119.07
2,2025,1SK-45870,HUB Tunring,445,9749.61
2,2025,(SE01B00G00037),Front Wheel hub Star Glow,528,1001.19
2,2025,4256730,HUB-118,402,2905.73
2,2025,4252073,HUB-316,390,7688.09
2,2025,4252752,HUB-454,173,10510.46
2,2025,4255058,HUB-770,148,2942.3
2,2025,10055248BB,ASSY FRONT AXLE HOUSING PADDY SPECIAL,363,10293.78
2,2025,1A8252-13760-1,"GEARBOX, FRONT L ECN",295,2223.83
2,2025,1A8252-13770-1,"GEARBOX, FRONT R ECN",292,3206.52
2,2025,300167935A,Center Beam Housing -584/935,166,2997.72
2,2025,XBY00222,Bracket Engine,88,4068.27
2,2025,300137702C,CENTER BEAM HSG - Casting,375,10076.74
2,2025,M31149S002,Fron Wheel Hub Champ,493,8018.96
2,2025,X1821622,Housing Oil Cooler,335,4869.32
2,2025,B3F01301,Flywheel Boss,169,334.3
2,2025,F4W03322,FSFB Bracket - 3322,462,9985.8
2,2025,F4W03222,FSFB Bracket - 3222,280,11919.11
2,2025,X6E04822,NODO BRACKET -ECO-4822,189,7283.87
2,2025,F6A07422,Spring bracket-7422,423,12259.02
2,2025,7125600,Wheel - Drive,150,680.33
2,2025,8829617,Dual adapter hub,243,3699.82
2,2025,29324690,Disc Actuating,85,12425.35
2,2025,IC0305854,EICHER BRAKE DRUM,108,7719.38
2,2025,277642303714,Brake Drum 3714,156,4917.5
2,2025,277642303707,Brake Drum 3707,243,4514.52
2,2025,66666,Trunnion Braket,276,4710.53
2,2025,1528137,Chart Casting Wheel -8137,104,4742
2,2025,1528138,Chart Casting Wheel -8138,259,11057.27
2,2025,516266681,Chart Casting Wheel -6681,78,8106.38
2,2025,8504786,Casting drive wheel,49,9855.05
2,2025,1524926,Hub Casting,214,11940.91
2,2025,8827231,Drive wheel -casting,444,940.72
2,2025,006050988V01,Fly Wheel 67 HP,417,9197.25
2,2025,907125600,Wheel - Drive,245,7224.99
2,2025,60000-01/018,"Brake Drum , 16.5X7, G3000b",384,3705.11
2,2025,X1505222,Pulley-5222,250,3208.8
2,2025,X1505122,Pulley-5122,195,10561.7
2,2025,006525415B01,Axle Carr LH,299,8568.7
2,2025,006525417B01,Axle Carr RH,269,372.93
2,2025,B3F16003,Fly Wheel -16003,274,11784.91
2,2025,5739980670,HYVA Bracket 670,432,9020.35
2,2025,3318C00701,Flywheel-701,207,7504.51
2,2025,H01XX417961701,Drive wheel,422,4834.18
2,2025,X6E04722,NODO BRACKET-ECO-4722,484,516.83
2,2025,FTF03022,Rear Dummy HUB-3222,458,6357.25
2,2025,F5N04822,Bracket -Engine Mounting-4822,429,5235.56
2,2025,A 400 322 05 01,Spring bracket -501,549,2981.53
2,2025,A 400 322 00 01,Spring bracket -0001,505,11557.74
2,2025,A 400 322 00 06,Spring bracket -0006,332,4016.42
2,2025,A4008911020,Bracket Bearing 1020,267,6765.07
2,2025,A4003220101,Spring bracket -0101,152,9435.25
2,2025,A400 891 09 20,Bracket Bearing 920,329,10808.86
3,2025,0503BA0290N-RK,ALFA HUB,148,5501.07
3,2025,0503BA0290N,Front Wheel Hub,454,8645.41
3,2025,0502BA1050N,Alfa Rear Wheel Hub LH,271,3779.71
3,2025,0502BA1060N,Alfa Rear Wheel Hub RH,282,9913.49
3,2025,0602AAB00260N,Brake Drum ALFA,340,6482.27
3,2025,0601AMJ00030N,Brake Drum -TREO,309,1212.41
3,2025,0601AAA00320N,B.D. E-Riksha,451,9788.79
3,2025,0601AED00170N,Brake Drum E-Rikshaw,519,2595.59
3,2025,0801AAA00960N,Clutch Housing LCC,107,1240.6
3,2025,006017472B92,Fly Wheel 3DI,152,9604.93
3,2025,006029533V91,Fly Wheel 3DI E1H1,509,7574.37
3,2025,006028861V92,475/575 4DI-NCRPTO,87,3648.56
3,2025,006028860V91,475/575 4DI-CRPTO,616,7753.61
3,2025,006022009B91,Fly Wheel Swraj,565,2444.48
3,2025,007903649B1,HUB(CRE),601,1430.53
3,2025,4D00322,BOSS BRAKCET,112,583.2
3,2025,005551418R8,F.A.S. (BP),365,1831.07
3,2025,F3S00100,Brake Drum 100,206,1268.38
3,2025,F8T00122,Brake Drum 122,220,7197.63
3,2025,F3S00222,Brake Drum 222,427,493.52
3,2025,F3S00422,Brake Drum 422,126,11935.51
3,2025,F8T01222,Brake Drum 1222,200,2502.66
3,2025,F8T02022,Brake Drum 2022,394,7325.22
3,2025,F1860822,BD (B) 1860822 -EDM,474,3880.28
3,2025,F1869022,BD F-1869022-EDM,292,8249.83
3,2025,F8T01922,Brake Drum 1922,679,5842.46
3,2025,F1879622,Brake Drum 9622,136,4510.24
3,2025,F1879722,Brake Drum 9722,506,9427.8
3,2025,F1869122,Brake Drum 9122,162,7400.55
3,2025,F3S00622,Brake Drum 622,487,801.86
3,2025,F5Z00120,Distence Pic Old 120,361,10598.61
3,2025,F5Z00112,Distence Pic Big 112,113,10253.58
3,2025,F1880122,Rear Hub 122,614,3721.06
3,2025,F1888822,Dummy Hub 822,395,7055.21
3,2025,F8S00622,Rear Hub-622,83,1506.28
3,2025,F1880222,Rear HUB-222,135,2912.19
3,2025,F8S01022,UB Hub 1022,114,2685.01
3,2025,FTF01222,UB Hub 1222,343,8693.85
3,2025,F1884622,Front Hub -622,84,8989.17
3,2025,F8S00922,UB Hub 922,456,5580.91
3,2025,F8S01322,Front HUB-1322,438,2518.34
3,2025,FTF01122,Hub 1122 MBP,410,3747.32
3,2025,FTF01022,Hub 1022 MBP,318,1120.58
3,2025,FTF03022,Rear Dummy HUB-3022,102,10613.38
3,2025,FH302622,Front Hub 2622 MBP,157,10352.5
3,2025,FTT02722,HUB-2722,538,638.34
3,2025,F3H01322,ARB FRAME MOUNTING BKT,239,10700.34
3,2025,F2R00122,SGM BKT-122,412,9102.67
3,2025,F8D01700,SGM BKT -1700,189,7932
3,2025,F-8D02722,SGM -2722,88,2799.94
3,2025,F8D01622,SGM -1622,289,6024.17
3,2025,F3H01122,ARB Axle M. BKt LH,455,9518.7
3,2025,F3H01222,ARB Axle M. BKt RH,187,1696.29
3,2025,B3F15503,Fly Wheel-503,346,3503.81
3,2025,B9805502,Flywheel Neptune,350,2130.06
3,2025,B2W02519,FIP Housing CB18,75,6980.58
3,2025,B2W01421,FIP Housing CB28,80,6150.74
3,2025,B2W01307,Fip Housing-1307,330,2932.86
3,2025,X1X00522,Thermostate Housing-522,777,5414.24
3,2025,X2H00622,T.G. Case,647,8340.22
3,2025,F7L09722,Rear Spring Bracket,288,7563.62
3,2025,F5F01822,AC Bracket -1822,234,8769.69
3,2025,F5F01722,AC Bracket -1722,431,2522.7
3,2025,F7Z05314,ATS BRACKET-5314,387,7686.12
3,2025,F7Z00122,ATS BRACKET-122,281,3098.4
3,2025,F7Z05414,ATS BRACKET-5414,557,2641.78
3,2025,F7Z10314,ATS BRACKET 10314,555,9470.78
3,2025,X6E03422,Nodo Bracket-3422,421,646.85
3,2025,X6E03522,Nodo Bracket-3522,91,7354.5
3,2025,X6E05222,Nodo Bracket-5222,162,8412.01
3,2025,X6E05122,Nodo Bracket-5122,320,9665.81
3,2025,330123920,Tata Cup Box,90,4984.02
3,2025,P3301201020,ACE RDE Box casting,296,2387.15
3,2025,330151420,Mega Ace,478,3306.49
3,2025,330134120,M&M 510,81,12326.31
3,2025,330134220V1,M&M 630,532,2545.8
3,2025,330931720,Cover Plate,929,11211.39
3,2025,502207C01,Side Cover C01,689,6416.26
3,2025,502207E 01,Side Cover Casting E01 (HFB 82),244,2066.51
3,2025,50170115,Valve Housing HFB 64,340,4359.62
3,2025,501707C06,Valve Housing casting,249,7342.96
3,2025,501707C03,Valve Housing casting-C03,462,10169.06
3,2025,501707E 01,Valve housing casting  E01 (HFB82),386,2232.62
3,2025,500127C06,LH Housing C06,252,3673.96
3,2025,500127C14,LH Housing C14,517,10333.09
3,2025,50012110,LH Housing 64,82,3871.25
3,2025,5.00E+08,LH Housing -82,371,1314.35
3,2025,666,BB-106,236,1691.21
3,2025,F1826722,B.D. 6722,68,2567.79
3,2025,257542303705,TATA BRAKE DRUM 3705,1143,4169.68
3,2025,263242303723,TATA BRAKE DRUM 3723,85,9057.61
3,2025,F1875722,Brake Drum -5722,370,3619.77
3,2025,277642303701,TATA BRAKE DRUM 3701,319,3760.58
3,2025,5.01E+11,Brake Drum 3702,159,11863.83
3,2025,0031002662AC,Rear Cover-6662,234,6221.72
3,2025,10006813CC,Rear Cover-6813,631,6594.76
3,2025,300053048A,Sviwel Housing LH,453,5656.45
3,2025,300053049A,Sviwel Housing RH,535,7969.91
3,2025,300130461B,Housing Input Pinion,337,7992.62
3,2025,300130468A,Cover steering cylinder mounting,396,10501.58
3,2025,300130474A,Housing hub stub axle,346,6659.59
3,2025,300145985A,Housing Axle King Shaft,305,5204.62
3,2025,10039106AB,Front Axle Housing LH-106 AB,78,3770.45
3,2025,10039104AC,Front Axle Housing RH-104 AC,535,6012.7
3,2025,10039098AB,"Front Axle Housing RH  (10039098AB)
",144,5893.93
3,2025,300422630A,Housing Front Axle Cover LH-630,689,10740.07
3,2025,300422616A,Housing Front Axle Cover RH-640,712,7310.11
3,2025,300137705B,Housing Front Axle Cover LH-705,502,7783.3
3,2025,300130478B,Housing Front Axle Cover RH-478,657,10775.38
3,2025,10051257CB,Front Axle Housing,306,7179.78
3,2025,1A8252-42110,Hydarulic Housing,81,956.15
3,2025,10071462AG,Integral Front Axle Bkt(Casting),234,8703.59
3,2025,5A8252-24701,COVER FRONT,285,5704.9
3,2025,5A8252-24240,COVER REAR,91,2557.71
3,2025,1A8252-43231-1,HEAD CYLINDER,482,7341.36
3,2025,1A8550-43210-1,HEAD CYLINDER-210,682,8284.18
3,2025,1A8252-47710,HINGE SUPPORT-8252,419,6518.25
3,2025,101281426000,Brake Drum -6000,458,9180.77
3,2025,101281426100,Brake Drum -6100,184,2973.84
3,2025,1SK-45870,HUB Tunring,482,9295.68
3,2025,(SE01B00G00037),Front Wheel hub Star Glow,571,954.58
3,2025,4256730,HUB-118,436,2770.44
3,2025,4252073,HUB-316,422,7330.14
3,2025,4252752,HUB-454,188,10021.1
3,2025,4255058,HUB-770,161,2805.31
3,2025,10055248BB,ASSY FRONT AXLE HOUSING PADDY SPECIAL,393,9814.51
3,2025,1A8252-13760-1,"GEARBOX, FRONT L ECN",319,2120.29
3,2025,1A8252-13770-1,"GEARBOX, FRONT R ECN",316,3057.23
3,2025,300167935A,Center Beam Housing -584/935,179,2858.15
3,2025,XBY00222,Bracket Engine,95,3878.85
3,2025,300137702C,CENTER BEAM HSG - Casting,407,9607.57
3,2025,M31149S002,Fron Wheel Hub Champ,534,7645.6
3,2025,X1821622,Housing Oil Cooler,363,4642.61
3,2025,B3F01301,Flywheel Boss,184,318.73
3,2025,F4W03322,FSFB Bracket - 3322,500,9520.87
3,2025,F4W03222,FSFB Bracket - 3222,303,11364.17
3,2025,X6E04822,NODO BRACKET -ECO-4822,204,6944.74
